DATE	TWEET_COUNT
Dec022016    72374
Nov252016    77504
Dec052016    83339
Nov212016    17669
Nov282016    78272
Dec032016    61591
Nov262016    67885
Dec042016    77166
Nov272016    78528
Dec012016    70613
Nov242016    84506
Dec062016    28661
Nov222016    88727
Nov292016    80479
Nov232016    101895
Nov302016    76554
Dec092016    70205
Dec162016    71223
Dec122016    75975
Dec192016    74494
Dec102016    66273
Dec172016    69062
Dec112016    69635
Dec182016    74768
Dec082016    77822
Dec152016    80310
Dec062016    46903
Dec132016    79483
Dec202016    69321
Dec072016    76066
Dec142016    76180
Dec232016    121703
Dec302016    74598
Dec262016    63722
Jan022017    115901
Dec242016    84741
Dec312016    62434
Dec252016    59764
Jan012017    70021
Dec222016    82534
Dec292016    74100
Dec202016    2985
Dec272016    65693
Jan032017    78792
Dec212016    70657
Dec282016    66146
Jan042017    35674
Jan062017    78142
Jan092017    74839
Jan072017    71724
Jan082017    71348
Jan052017    77623
Jan122017    112429
Jan102017    84472
Jan042017    43326
Jan112017    96354
